,"('gfli_a_1', 'pi_cc_d')","('gfli_a_1', 'pi_cc_q')","('gfli_a_1', 'i_vsc_d')","('gfli_a_1', 'i_vsc_q')","('gfli_a_1', 'i_bus_d')","('gfli_a_1', 'i_bus_q')","('gfli_a_1', 'v_lcl_sh_d')","('gfli_a_1', 'v_lcl_sh_q')","('gfli_a_1', 'int_pll')","('gfli_a_1', 'phase_pll')","('inf_src_1', 'i_bus_d')","('inf_src_1', 'i_bus_q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('pa_rc_2', 'v_bus_D')","('pa_rc_2', 'v_bus_Q')","('se_rl_1', 'i_br_D')","('se_rl_1', 'i_br_Q')"
"('gfli_a_1', 'pi_cc_d')",0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_1', 'pi_cc_q')",0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_a_1', 'i_vsc_d')",3769.9111843077517,0.0,-75.39822368615502,376.99111843077515,-3769.9111843077517,-1130.9733552923258,-3769.9111843077517,0.0,-0.7541277767119274,83.2334450932388,0.0,0.0,0.0,0.0,2813.635582535001,289.0007969044168,0.0,0.0
"('gfli_a_1', 'i_vsc_q')",0.0,3769.9111843077517,-376.99111843077515,-75.39822368615502,1130.9733552923258,-3769.9111843077517,0.0,-3769.9111843077517,-7.267437264076453,-2318.541274101403,0.0,0.0,0.0,0.0,-270.28155949232894,2083.2294482099496,0.0,0.0
"('gfli_a_1', 'i_bus_d')",0.0,0.0,0.0,0.0,-56.54866776461627,376.99111843077515,1884.9555921538758,0.0,-1.707843966231776,188.49555921538757,0.0,0.0,0.0,0.0,-1847.3148107554084,-411.8894080767569,0.0,0.0
"('gfli_a_1', 'i_bus_q')",0.0,0.0,0.0,0.0,-376.99111843077515,-56.54866776461627,0.0,1884.9555921538758,-2.732550345970842,2382.027439495047,0.0,0.0,0.0,0.0,277.6823937929529,-2140.272318560932,0.0,0.0
"('gfli_a_1', 'v_lcl_sh_d')",0.0,0.0,3769.9111843077517,0.0,-3769.9111843077517,0.0,-3769.9111843077517,376.99111843077515,0.4952747502072152,-54.66371217246241,0.0,0.0,0.0,0.0,-6.372365908965384,49.115819596647775,0.0,0.0
"('gfli_a_1', 'v_lcl_sh_q')",0.0,0.0,0.0,3769.9111843077517,0.0,-3769.9111843077517,-376.99111843077515,-3769.9111843077517,-4.584414393126334,505.9840194968637,0.0,0.0,0.0,0.0,58.984565595371016,-454.6310309476953,0.0,0.0
"('gfli_a_1', 'int_pll')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-551.8524026269457,0.0,0.0,0.0,0.0,-64.33162508586685,495.8441710999651,0.0,0.0
"('gfli_a_1', 'phase_pll')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7699111843077517,-416.0869089500854,0.0,0.0,0.0,0.0,-48.5049025831805,373.85769726071294,0.0,0.0
"('inf_src_1', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5398223686155035,376.99111843077515,-686.8526156079274,311.0027297875303,0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-7.5398223686155035,-311.0027297875303,-686.8526156079274,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5151.394591302483,2332.5204617438753,-282.7433374093647,376.99111843077515,0.0,0.0,-5654.8667481872935,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2332.5204617438753,5151.394591302483,-376.99111843077515,-282.7433374093647,0.0,0.0,0.0,-5654.8667481872935
"('pa_rc_2', 'v_bus_D')",0.0,0.0,0.0,0.0,5607.865430871368,-727.5735351098399,0.0,0.0,0.0,2013.1052041915336,0.0,0.0,0.0,0.0,-282.7433374093647,376.99111843077515,5654.8667481872935,0.0
"('pa_rc_2', 'v_bus_Q')",0.0,0.0,0.0,0.0,727.5735351098399,5607.865430871368,0.0,0.0,0.0,4394.362595111039,0.0,0.0,0.0,0.0,-376.99111843077515,-282.7433374093647,0.0,5654.8667481872935
"('se_rl_1', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884.9555921538758,0.0,-1884.9555921538758,0.0,-18.849555921538755,376.99111843077515
"('se_rl_1', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884.9555921538758,0.0,-1884.9555921538758,-376.99111843077515,-18.849555921538755
