,"('gfli_a_1', 'i_bus_d_ref')","('gfli_a_1', 'i_bus_q_ref')","('inf_src_1', 'v_ref_d')","('inf_src_1', 'v_ref_q')"
"('gfli_a_1', 'pi_cc_d')",5.0,0.0,0.0,0.0
"('gfli_a_1', 'pi_cc_q')",0.0,5.0,0.0,0.0
"('gfli_a_1', 'i_vsc_d')",3769.9111843077517,0.0,0.0,0.0
"('gfli_a_1', 'i_vsc_q')",0.0,3769.9111843077517,0.0,0.0
"('gfli_a_1', 'i_bus_d')",0.0,0.0,0.0,0.0
"('gfli_a_1', 'i_bus_q')",0.0,0.0,0.0,0.0
"('gfli_a_1', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0
"('gfli_a_1', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0
"('gfli_a_1', 'int_pll')",0.0,0.0,0.0,0.0
"('gfli_a_1', 'phase_pll')",0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_d')",0.0,0.0,753.9822368615503,0.0
"('inf_src_1', 'i_bus_q')",0.0,0.0,0.0,753.9822368615503
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_D')",0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('se_rl_1', 'i_br_D')",0.0,0.0,0.0,0.0
"('se_rl_1', 'i_br_Q')",0.0,0.0,0.0,0.0
