,"('inf_src_1', 'v_ref_d')","('inf_src_1', 'v_ref_q')","('inf_src_2', 'v_ref_d')","('inf_src_2', 'v_ref_q')"
"('inf_src_1', 'i_bus_d')",753.9822368615503,0.0,0.0,0.0
"('inf_src_1', 'i_bus_q')",0.0,753.9822368615503,0.0,0.0
"('inf_src_2', 'i_bus_d')",0.0,0.0,1884.9555921538758,0.0
"('inf_src_2', 'i_bus_q')",0.0,0.0,0.0,1884.9555921538758
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_D')",0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_Q')",0.0,0.0,0.0,0.0
"('se_rl_1', 'i_br_D')",0.0,0.0,0.0,0.0
"('se_rl_1', 'i_br_Q')",0.0,0.0,0.0,0.0
